year,model,city08,highway08,comb08,trim
2024,GR 86,21,30,24,86
2024,Tacoma SR5/Sport/PreRunner 2WD,20,24,22,SR5/Sport/PreRunner 2WD
2024,Tacoma SR5/Sport/PreRunner 2WD,21,26,23,SR5/Sport/PreRunner 2WD
2024,Tacoma 2WD,20,26,23,2WD
2024,Tacoma 4WD MT,18,23,20,4WD MT
2024,Tacoma SR5/Sport/Off-Road/Limited 4WD,19,23,21,SR5/Sport/Off-Road/Limited 4WD
2024,Tacoma SR5/Sport/Off-Road/Limited 4WD,20,23,21,SR5/Sport/Off-Road/Limited 4WD
2024,Tacoma SR5/Sport/Off-Road/Limited 4WD,19,24,21,SR5/Sport/Off-Road/Limited 4WD
2024,Tacoma 4WD,19,24,21,4WD
2024,Tundra 2WD,18,23,20,2WD
2024,Tundra 2WD,18,23,20,2WD
2024,Tundra 2WD,20,24,22,2WD
2024,Tundra 4WD,17,23,19,4WD
2024,Tundra 4WD,19,22,20,4WD
2024,Tundra 4WD PRO,18,20,19,4WD PRO
2024,Corolla Cross,31,33,32,Cross
2024,Highlander Hybrid,36,35,36,Hybrid
2024,Highlander,22,29,25,
2024,Highlander,21,28,24,
2024,Corolla Cross AWD,29,31,30,Cross AWD
2024,Corolla Cross Hybrid AWD,45,38,42,Cross Hybrid AWD
2024,Highlander AWD,21,28,24,AWD
2024,Highlander Hybrid AWD LTD/PLAT,35,34,35,Hybrid AWD LTD/PLAT
2024,Highlander Hybrid AWD,35,35,35,Hybrid AWD
2024,Land Cruiser,22,25,23,Cruiser
2024,bZ4X,131,107,119,
2024,bZ4X Limited,121,102,112,Limited
2024,bZ4X AWD,114,94,104,AWD
2024,bZ4X Limited AWD,112,92,102,Limited AWD
2025,Crown AWD,42,41,41,AWD
2025,Crown AWD,29,32,30,AWD
2025,GR Supra,25,31,27,Supra
2025,GR Supra,23,31,26,Supra
2025,GR Supra,19,27,21,Supra
2025,Corolla Hatchback,32,41,35,Hatchback
2025,Corolla Hatchback XSE,30,38,33,Hatchback XSE
2025,Camry HEV AWD SE/XLE,46,46,46,HEV AWD SE/XLE
2025,Camry HEV AWD XSE,44,43,44,HEV AWD XSE
2025,Camry HEV FF LE,53,50,51,HEV FF LE
2025,Camry HEV FF SE/XLE/XSE,48,47,47,HEV FF SE/XLE/XSE
2025,Camry HEV AWD LE,51,49,50,HEV AWD LE
2025,Crown Signia AWD,39,37,38,Signia AWD
2024,Tacoma Hybrid 4WD,23,24,24,Hybrid 4WD
2024,Tacoma Hybrid 4WD,22,24,23,Hybrid 4WD
2025,Corolla Hybrid,50,43,47,Hybrid
2025,Corolla Hybrid AWD,47,41,44,Hybrid AWD
2025,Corolla,32,41,35,
2025,Corolla,31,40,34,
2025,Corolla,31,38,34,
2025,Corolla FX,31,39,34,FX
2025,Tundra 2WD,18,23,20,2WD
2025,Tundra 2WD,18,23,20,2WD
2025,Tundra 2WD,20,24,22,2WD
2025,Tundra 4WD,17,22,19,4WD
2025,Tundra 4WD,17,22,19,4WD
2025,Tundra 4WD,19,22,20,4WD
2025,Tundra 4WD PRO,18,20,19,4WD PRO
2025,Sequoia 2WD,21,24,22,2WD
2025,Sequoia 4WD,19,22,20,4WD
2025,GR Corolla,19,27,22,Corolla
2025,GR Corolla,21,28,24,Corolla
